sequence,v115@fgA8DeA8CeC8CeG8CeH8BeH8AeI8AeI8AeF8Je0rIv?hFFuIXvIzxIixIm7I5FJ,v115@fgA8DeA8CeC8CeG8CeH8BeH8AeI8AeI8AeF8Je0rIv?hFmsIFuIXvIi2Iz7I5FJ
TILJSZO,X,X
TILJSOZ,X,X
TILJZSO,X,X
TILJZOS,X,X
TILJOSZ,X,X
TILJOZS,X,X
TILSJZO,X,X
TILSJOZ,X,X
TILSZJO,X,X
TILSZOJ,X,X
TILSOJZ,X,X
TILSOZJ,X,X
TILZJSO,X,X
TILZJOS,X,X
TILZSJO,X,X
TILZSOJ,X,X
TILZOJS,X,X
TILZOSJ,X,X
TILOJSZ,X,X
TILOJZS,X,X
TILOSJZ,X,X
TILOSZJ,X,X
TILOZJS,X,X
TILOZSJ,X,X
TIJLSZO,X,X
TIJLSOZ,X,X
TIJLZSO,X,X
TIJLZOS,X,X
TIJLOSZ,X,X
TIJLOZS,X,X
TIJSLZO,X,X
TIJSLOZ,X,X
TIJSZLO,X,X
TIJSZOL,O,X
TIJSOLZ,X,X
TIJSOZL,O,X
TIJZLSO,X,X
TIJZLOS,X,X
TIJZSLO,X,X
TIJZSOL,O,X
TIJZOLS,X,X
TIJZOSL,O,X
TIJOLSZ,X,X
TIJOLZS,X,X
TIJOSLZ,X,X
TIJOSZL,O,X
TIJOZLS,X,X
TIJOZSL,O,X
TISLJZO,X,X
TISLJOZ,X,X
TISLZJO,X,X
TISLZOJ,X,X
TISLOJZ,X,X
TISLOZJ,X,X
TISJLZO,X,X
TISJLOZ,X,X
TISJZLO,X,X
TISJZOL,O,X
TISJOLZ,X,X
TISJOZL,O,X
TISZLJO,X,X
TISZLOJ,X,X
TISZJLO,X,X
TISZJOL,O,X
TISZOLJ,X,X
TISZOJL,X,X
TISOLJZ,X,X
TISOLZJ,X,X
TISOJLZ,X,X
TISOJZL,X,X
TISOZLJ,X,X
TISOZJL,X,X
TIZLJSO,X,X
TIZLJOS,X,X
TIZLSJO,X,X
TIZLSOJ,X,X
TIZLOJS,X,X
TIZLOSJ,X,X
TIZJLSO,X,X
TIZJLOS,X,X
TIZJSLO,X,X
TIZJSOL,O,X
TIZJOLS,X,X
TIZJOSL,O,X
TIZSLJO,X,X
TIZSLOJ,X,X
TIZSJLO,X,X
TIZSJOL,O,X
TIZSOLJ,X,X
TIZSOJL,X,X
TIZOLJS,X,X
TIZOLSJ,X,X
TIZOJLS,X,X
TIZOJSL,X,X
TIZOSLJ,X,X
TIZOSJL,X,X
TIOLJSZ,X,X
TIOLJZS,X,X
TIOLSJZ,X,X
TIOLSZJ,X,X
TIOLZJS,X,X
TIOLZSJ,X,X
TIOJLSZ,X,X
TIOJLZS,X,X
TIOJSLZ,X,X
TIOJSZL,X,X
TIOJZLS,X,X
TIOJZSL,X,X
TIOSLJZ,X,X
TIOSLZJ,X,X
TIOSJLZ,X,X
TIOSJZL,X,X
TIOSZLJ,X,X
TIOSZJL,X,X
TIOZLJS,X,X
TIOZLSJ,X,X
TIOZJLS,X,X
TIOZJSL,X,X
TIOZSLJ,X,X
TIOZSJL,X,X
TLIJSZO,X,X
TLIJSOZ,X,X
TLIJZSO,X,X
TLIJZOS,X,X
TLIJOSZ,X,X
TLIJOZS,X,X
TLISJZO,X,X
TLISJOZ,X,X
TLISZJO,X,X
TLISZOJ,X,X
TLISOJZ,X,X
TLISOZJ,X,X
TLIZJSO,X,X
TLIZJOS,X,X
TLIZSJO,X,X
TLIZSOJ,X,X
TLIZOJS,X,X
TLIZOSJ,X,X
TLIOJSZ,X,X
TLIOJZS,X,X
