sequence,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBzvaFDsOBAAvhF/pBOqBznBUmBasBlpB,v115@UhC8AeB8AeA8BeF8Ke0JYaAFLDmClcJSAVDEHBEooR?BaoAVBMNegCK+AAAvhF6tBXmBFsBTkBOqBxxB,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBTnjWC0/AAAvhF/pBziBUhBanBFlBmpB,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBTHExC6/AAAvhF/pBziBanBVmB0fBOqB,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBKHExCzXBAAvhF2pBziBanBVrBXlB0pB,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBKnjWCzOBAAvhF2pBziBUhBanBXqBlpB,v115@UhC8AeB8AeA8BeF8Ke5IYaAFLDmClcJSAVDEHBEooR?BJoAVBKHExCaNBAAvhF2pBziBanBVrB0kBXqB,v115@UhC8AeB8AeA8BeF8Ke6NYaAFLDmClcJSAVDEHBEooR?BMoAVBPNmPCa+AAAvhFTkBXhBFnBOlB0pBxxB
IOSZJLT,3650,-1,5150,-1,-1,3650,-1,-1
IOSZJTL,3650,-1,4050,3650,-1,3650,-1,-1
IOSZLJT,3650,-1,5150,-1,-1,3650,-1,-1
IOSZLTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOSZTJL,3650,-1,4050,3650,-1,-1,-1,-1
IOSZTLJ,3650,-1,5150,3650,-1,-1,-1,-1
IOSJZLT,4600,-1,5150,-1,-1,3650,-1,-1
IOSJZTL,4600,-1,4050,3650,3650,3650,3650,-1
IOSJLZT,4600,-1,5150,-1,-1,3550,-1,-1
IOSJLTZ,4600,-1,3650,3650,3650,3550,3550,5150
IOSJTZL,4600,-1,3650,3650,3650,3650,3650,-1
IOSJTLZ,4600,-1,3650,3650,3650,3650,3650,4050
IOSLZJT,3650,-1,5150,-1,-1,3650,-1,-1
IOSLZTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOSLJZT,4600,-1,5150,-1,-1,3550,-1,-1
IOSLJTZ,4600,-1,3650,3650,3550,3550,3550,5150
IOSLTZJ,3650,-1,5150,3650,3650,-1,-1,4050
IOSLTJZ,3650,-1,3650,3650,3650,-1,3650,4050
IOSTZJL,3650,-1,4050,3650,3650,-1,-1,-1
IOSTZLJ,3650,-1,5150,3650,3650,-1,-1,-1
IOSTJZL,3650,-1,3650,3650,3650,-1,3650,-1
IOSTJLZ,3650,-1,3650,3650,3650,-1,3650,4050
IOSTLZJ,3650,-1,5150,3650,3650,-1,-1,4050
IOSTLJZ,3650,-1,3650,3650,3650,-1,3650,4050
IOZSJLT,3650,-1,5150,-1,-1,3650,-1,-1
IOZSJTL,3650,-1,4050,3650,-1,3650,-1,-1
IOZSLJT,3650,-1,5150,-1,-1,3650,-1,-1
IOZSLTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOZSTJL,3650,-1,4050,3650,-1,-1,-1,-1
IOZSTLJ,3650,-1,5150,3650,-1,-1,-1,-1
IOZJSLT,4600,-1,5150,-1,-1,3650,-1,-1
IOZJSTL,4600,-1,4050,-1,3650,3650,3650,-1
IOZJLST,4600,-1,5150,-1,-1,3650,-1,-1
IOZJLTS,3650,-1,-1,-1,3550,3650,3650,-1
IOZJTSL,3650,-1,-1,-1,3650,3650,3650,-1
IOZJTLS,3650,-1,-1,-1,3650,3650,3650,-1
IOZLSJT,3650,-1,5150,-1,-1,3650,-1,-1
IOZLSTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOZLJST,4600,-1,5150,-1,-1,3650,-1,-1
IOZLJTS,3650,-1,-1,-1,3550,3650,3550,-1
IOZLTSJ,3650,-1,5150,3650,3650,-1,-1,-1
IOZLTJS,3650,-1,-1,-1,3650,3650,3650,-1
IOZTSJL,3650,-1,4050,3650,3650,-1,-1,-1
IOZTSLJ,3650,-1,5150,3650,3650,-1,-1,-1
IOZTJSL,3650,-1,-1,-1,3650,3650,3650,-1
IOZTJLS,3650,-1,-1,-1,3650,3650,3650,-1
IOZTLSJ,3650,-1,5150,3650,3650,-1,-1,-1
IOZTLJS,3650,-1,-1,-1,3650,3650,3650,-1
IOJSZLT,4600,-1,5150,-1,-1,3650,-1,-1
IOJSZTL,4600,-1,4050,3650,3650,3650,3650,-1
IOJSLZT,4600,-1,5150,-1,-1,3550,-1,-1
IOJSLTZ,4600,-1,3650,3650,3650,3550,3550,-1
IOJSTZL,4600,-1,3650,3650,3650,3650,3650,-1
IOJSTLZ,4600,-1,3650,3650,3650,3650,3650,-1
IOJZSLT,4600,-1,5150,-1,-1,3650,-1,-1
IOJZSTL,4600,-1,4050,-1,3650,3650,3650,-1
IOJZLST,4600,-1,5150,-1,-1,3650,-1,-1
IOJZLTS,3650,-1,-1,-1,3550,3650,3650,-1
IOJZTSL,3650,-1,-1,-1,3650,3650,3650,-1
IOJZTLS,3650,-1,-1,-1,3650,3650,3650,-1
IOJLSZT,4600,-1,5150,-1,-1,3550,-1,-1
IOJLSTZ,4600,-1,3650,3650,3650,3550,3550,-1
IOJLZST,4600,-1,5150,-1,-1,3650,-1,-1
IOJLZTS,3650,-1,-1,-1,3550,3650,3650,-1
IOJLTSZ,3600,-1,-1,3650,3650,3650,3650,-1
IOJLTZS,3650,-1,-1,-1,3650,3650,3650,-1
IOJTSZL,3600,-1,-1,3650,3650,3650,3650,-1
IOJTSLZ,3600,-1,-1,3650,3650,3650,3650,-1
IOJTZSL,3650,-1,-1,-1,3650,3650,3650,-1
IOJTZLS,3650,-1,-1,-1,3650,3650,3650,-1
IOJTLSZ,3600,-1,-1,3650,3650,3650,3650,-1
IOJTLZS,3650,-1,-1,-1,3650,3650,3650,-1
IOLSZJT,3650,-1,5150,-1,-1,3650,-1,-1
IOLSZTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOLSJZT,4600,-1,5150,-1,-1,3550,-1,-1
IOLSJTZ,4600,-1,3650,3650,3550,3550,3550,5150
IOLSTZJ,3650,-1,5150,3650,3650,-1,-1,4050
IOLSTJZ,3650,-1,3650,3650,3650,-1,3650,4050
IOLZSJT,3650,-1,5150,-1,-1,3650,-1,-1
IOLZSTJ,3650,-1,5150,3650,-1,-1,-1,-1
IOLZJST,4600,-1,5150,-1,-1,3650,-1,-1
IOLZJTS,3650,-1,-1,-1,3550,3650,3550,-1
IOLZTSJ,3650,-1,5150,3650,3650,-1,-1,-1
IOLZTJS,3650,-1,-1,-1,3650,3650,3650,-1
IOLJSZT,4600,-1,5150,-1,-1,3550,-1,-1
IOLJSTZ,4600,-1,3650,3650,3650,3550,3550,-1
IOLJZST,4600,-1,5150,-1,-1,3650,-1,-1
IOLJZTS,3650,-1,-1,-1,3550,3650,3650,-1
IOLJTSZ,3600,-1,-1,3650,3650,3650,3650,-1
IOLJTZS,3650,-1,-1,-1,3650,3650,3650,-1
IOLTSZJ,3650,-1,5150,3650,3650,-1,-1,3650
IOLTSJZ,3650,-1,3650,3650,3650,-1,3650,3650
IOLTZSJ,3650,-1,5150,3650,3650,-1,-1,3650
IOLTZJS,3650,-1,-1,-1,3650,3650,3650,-1
IOLTJSZ,3600,-1,-1,3650,3650,3550,3650,3650
IOLTJZS,3650,-1,-1,-1,3650,3550,3650,-1
IOTSZJL,3650,-1,4050,3650,3650,-1,-1,-1
IOTSZLJ,3650,-1,5150,3650,3650,-1,-1,-1
IOTSJZL,3650,-1,3650,3650,3650,-1,3650,-1
IOTSJLZ,3650,-1,3650,3650,3650,-1,3650,3650
IOTSLZJ,3650,-1,5150,3650,3650,-1,-1,3650
IOTSLJZ,3650,-1,3650,3650,3650,-1,3650,3650
IOTZSJL,3650,-1,4050,3650,3650,-1,-1,-1
IOTZSLJ,3650,-1,5150,3650,3650,-1,-1,-1
IOTZJSL,3650,-1,-1,-1,3650,3650,3650,-1
IOTZJLS,3650,-1,-1,-1,3650,3650,3650,-1
IOTZLSJ,3650,-1,5150,3650,3650,-1,-1,-1
IOTZLJS,3650,-1,-1,-1,3650,3650,3650,-1
IOTJSZL,3600,-1,-1,3650,3650,3650,3650,-1
IOTJSLZ,3600,-1,-1,3650,3650,3650,3650,-1
IOTJZSL,3650,-1,-1,-1,3650,3650,3650,-1
IOTJZLS,3650,-1,-1,-1,3650,3650,3650,-1
IOTJLSZ,3600,-1,-1,3650,3650,3650,3650,-1
IOTJLZS,3650,-1,-1,-1,3650,3650,3650,-1
IOTLSZJ,3650,-1,5150,3650,3650,-1,-1,3650
IOTLSJZ,3650,-1,3650,3650,3650,-1,3650,3650
IOTLZSJ,3650,-1,5150,3650,3650,-1,-1,3650
IOTLZJS,3650,-1,-1,-1,3650,3650,3650,-1
IOTLJSZ,3600,-1,-1,3650,3650,3550,3650,3650
IOTLJZS,3650,-1,-1,-1,3650,3550,3650,-1
ISOZJLT,3650,-1,5150,-1,-1,3650,-1,-1
ISOZJTL,3650,-1,4050,3650,-1,3650,-1,-1
ISOZLJT,3650,-1,5150,-1,-1,3650,-1,-1
ISOZLTJ,3650,-1,5150,3650,-1,-1,-1,-1
ISOZTJL,3650,-1,4050,3650,-1,-1,-1,-1
ISOZTLJ,3650,-1,5150,3650,-1,-1,-1,-1
ISOJZLT,4600,-1,5150,-1,-1,3650,-1,-1
ISOJZTL,4600,-1,4050,3650,3650,3650,3650,-1
ISOJLZT,4600,-1,5150,-1,-1,3550,-1,-1
ISOJLTZ,4600,-1,3650,3650,3650,3550,3550,5150
ISOJTZL,4600,-1,3650,3650,3650,3650,3650,-1
ISOJTLZ,4600,-1,3650,3650,3650,3650,3650,4050
ISOLZJT,3650,-1,5150,-1,-1,3650,-1,-1
ISOLZTJ,3650,-1,5150,3650,-1,-1,-1,-1
ISOLJZT,4600,-1,5150,-1,-1,3550,-1,-1
ISOLJTZ,4600,-1,3650,3650,3550,3550,3550,5150
ISOLTZJ,3650,-1,5150,3650,3650,-1,-1,4050
ISOLTJZ,3650,-1,3650,3650,3650,-1,3650,4050
ISOTZJL,3650,-1,4050,3650,3650,-1,-1,-1
ISOTZLJ,3650,-1,5150,3650,3650,-1,-1,-1
ISOTJZL,3650,-1,3650,3650,3650,-1,3650,-1
ISOTJLZ,3650,-1,3650,3650,3650,-1,3650,4050
ISOTLZJ,3650,-1,5150,3650,3650,-1,-1,4050
ISOTLJZ,3650,-1,3650,3650,3650,-1,3650,4050
ISZOJLT,3650,4550,5150,-1,-1,3650,-1,-1
ISZOJTL,3650,4050,4050,3650,-1,3650,-1,-1
ISZOLJT,3650,4450,5150,-1,-1,3650,-1,-1
ISZOLTJ,3650,4000,5150,3650,-1,-1,-1,-1
ISZOTJL,3650,4050,4050,3650,-1,-1,-1,-1
ISZOTLJ,3650,4050,5150,3650,-1,-1,-1,-1
ISZJOLT,3650,4550,5150,-1,-1,3650,-1,-1
ISZJOTL,3650,4050,4050,3650,-1,3650,-1,-1
ISZJLOT,3650,4450,5150,-1,-1,3550,-1,-1
ISZJLTO,3650,4400,4750,-1,-1,3550,-1,-1
ISZJTOL,3650,4050,4050,3650,-1,3650,-1,-1
ISZJTLO,3650,4050,4050,3650,-1,3650,-1,-1
ISZLOJT,3650,4450,5150,-1,-1,3650,-1,-1
ISZLOTJ,3650,4000,5150,3650,-1,-1,-1,-1
ISZLJOT,3650,4450,5150,-1,-1,3550,-1,-1
ISZLJTO,3650,4250,4750,-1,-1,3550,-1,-1
ISZLTOJ,3650,4000,5150,3650,-1,-1,-1,-1
ISZLTJO,3650,4000,4750,3650,-1,-1,-1,-1
ISZTOJL,3650,4050,4050,3650,-1,-1,-1,-1
ISZTOLJ,3650,4050,5150,3650,-1,-1,-1,-1
ISZTJOL,3650,4050,4050,3650,-1,-1,-1,-1
ISZTJLO,3650,4050,4050,3650,-1,-1,-1,-1
ISZTLOJ,3650,4050,5150,3650,-1,-1,-1,-1
ISZTLJO,3650,4100,4750,3650,-1,-1,-1,-1
ISJOZLT,4600,-1,5150,-1,-1,3650,-1,-1
ISJOZTL,4600,-1,4050,3650,3650,3650,3650,-1
ISJOLZT,4600,-1,5150,-1,-1,3550,-1,-1
ISJOLTZ,4600,-1,3650,3650,3650,3550,3550,5150
ISJOTZL,4600,-1,3650,3650,3650,3650,3650,-1
ISJOTLZ,4600,-1,3650,3650,3650,3650,3650,4050
ISJZOLT,4600,4550,5150,-1,-1,3650,-1,-1
ISJZOTL,4600,4050,4050,3650,3650,3650,3650,-1
ISJZLOT,4600,4450,5150,-1,-1,3550,-1,-1
ISJZLTO,4600,4400,4750,-1,-1,3550,-1,-1
ISJZTOL,4600,4050,4050,3650,3650,3650,3650,-1
ISJZTLO,4600,4050,4050,3650,3650,3650,3650,-1
ISJLOZT,4600,3650,5150,-1,-1,3550,-1,-1
ISJLOTZ,4600,-1,3650,3650,3650,3550,3550,5150
ISJLZOT,4600,4450,5150,-1,-1,3550,-1,-1
ISJLZTO,4600,4400,4750,-1,-1,3550,-1,-1
ISJLTOZ,4600,4050,3550,3650,3650,3550,3550,4050
ISJLTZO,4600,4050,3550,3650,3650,3550,3550,4050
ISJTOZL,4600,4050,3650,3650,3650,3650,3650,-1
ISJTOLZ,4600,-1,3650,3650,3650,3650,3650,4050
ISJTZOL,4600,4050,3650,3650,3650,3650,3650,-1
ISJTZLO,4600,4050,3650,3650,3650,3650,3650,-1
ISJTLOZ,4600,4050,3550,3650,3650,3550,3550,4050
ISJTLZO,4600,4050,3550,3650,3650,3550,3550,4050
ISLOZJT,3650,3550,5150,-1,-1,3650,-1,-1
ISLOZTJ,3650,3550,5150,3650,-1,-1,-1,-1
ISLOJZT,4600,3650,5150,-1,-1,3550,-1,-1
ISLOJTZ,4600,-1,3650,3650,3550,3550,3550,5150
ISLOTZJ,3650,-1,5150,3650,3650,-1,-1,4050
ISLOTJZ,3650,-1,3650,3650,3650,-1,3650,4050
ISLZOJT,3650,4450,5150,-1,-1,3650,-1,-1
ISLZOTJ,3650,4000,5150,3650,-1,-1,-1,-1
ISLZJOT,3650,4450,5150,-1,-1,3550,-1,-1
ISLZJTO,3650,4250,4750,-1,-1,3550,-1,-1
ISLZTOJ,3650,4000,5150,3650,-1,-1,-1,-1
ISLZTJO,3650,4000,4750,3650,-1,-1,-1,-1
ISLJOZT,4600,3650,5150,-1,-1,3550,-1,-1
ISLJOTZ,4600,-1,3650,3650,3550,3550,3550,5150
ISLJZOT,4600,4450,5150,-1,-1,3550,-1,-1
ISLJZTO,4600,4400,4750,-1,-1,3550,-1,-1
ISLJTOZ,4600,4050,3550,3650,3550,3550,3550,4050
ISLJTZO,4600,4050,3550,3650,3550,3550,3550,4050
ISLTOZJ,3650,4050,5150,3650,3650,-1,-1,4050
ISLTOJZ,3650,4050,3650,3650,3650,-1,3650,4050
ISLTZOJ,3650,4050,5150,3650,3650,-1,-1,4050
ISLTZJO,3650,4100,4750,3650,3650,-1,-1,4050
ISLTJOZ,3650,4050,3550,3650,3650,-1,3550,4050
ISLTJZO,3650,4050,3550,3650,3650,-1,3550,4050
ISTOZJL,3650,4050,4050,3650,3650,-1,-1,-1
ISTOZLJ,3650,4050,5150,3650,3650,-1,-1,-1
ISTOJZL,3650,4050,3650,3650,3650,-1,3650,-1
ISTOJLZ,3650,-1,3650,3650,3650,-1,3650,4050
ISTOLZJ,3650,-1,5150,3650,3650,-1,-1,4050
ISTOLJZ,3650,-1,3650,3650,3650,-1,3650,4050
ISTZOJL,3650,4050,4050,3650,3650,-1,-1,-1
ISTZOLJ,3650,4050,5150,3650,3650,-1,-1,-1
ISTZJOL,3650,4050,4050,3650,3650,-1,-1,-1
ISTZJLO,3650,4050,4050,3650,3650,-1,-1,-1
ISTZLOJ,3650,4050,5150,3650,3650,-1,-1,-1
ISTZLJO,3650,4100,4750,3650,3650,-1,-1,-1
ISTJOZL,3650,4050,3650,3650,3650,-1,3650,-1
ISTJOLZ,3650,-1,3650,3650,3650,-1,3650,4050
ISTJZOL,3650,4050,3650,3650,3650,-1,3650,-1
ISTJZLO,3650,4050,3650,3650,3650,-1,3650,-1
ISTJLOZ,3650,4050,3550,3650,3650,-1,3550,4050
ISTJLZO,3650,4050,3550,3650,3650,-1,3550,4050
ISTLOZJ,3650,4050,5150,3650,3650,-1,-1,4050
ISTLOJZ,3650,4050,3650,3650,3650,-1,3650,4050
ISTLZOJ,3650,4050,5150,3650,3650,-1,-1,4050
ISTLZJO,3650,4100,4750,3650,3650,-1,-1,4050
ISTLJOZ,3650,4050,3550,3650,3650,-1,3550,4050
ISTLJZO,3650,4050,3550,3650,3650,-1,3550,4050
IZOSJLT,3650,4550,5150,-1,-1,3650,-1,-1
IZOSJTL,3650,4050,4050,3650,-1,3650,-1,-1
IZOSLJT,3650,4450,5150,-1,-1,3650,-1,-1
IZOSLTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZOSTJL,3650,4050,4050,3650,-1,-1,-1,-1
IZOSTLJ,3650,4050,5150,3650,-1,-1,-1,-1
IZOJSLT,4600,4550,5150,-1,-1,3650,-1,-1
IZOJSTL,4600,4050,4050,-1,3650,3650,3650,-1
IZOJLST,4600,4450,5150,-1,-1,3650,-1,-1
IZOJLTS,3650,3700,-1,-1,3550,3650,3650,-1
IZOJTSL,3650,3650,-1,-1,3650,3650,3650,-1
IZOJTLS,3650,3650,-1,-1,3650,3650,3650,-1
IZOLSJT,3650,4450,5150,-1,-1,3650,-1,-1
IZOLSTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZOLJST,4600,4450,5150,-1,-1,3650,-1,-1
IZOLJTS,3650,3550,-1,-1,3550,3650,3550,-1
IZOLTSJ,3650,3600,5150,3650,3650,-1,-1,-1
IZOLTJS,3650,3600,-1,-1,3650,3650,3650,-1
IZOTSJL,3650,3650,4050,3650,3650,-1,-1,-1
IZOTSLJ,3650,3650,5150,3650,3650,-1,-1,-1
IZOTJSL,3650,3650,-1,-1,3650,3650,3650,-1
IZOTJLS,3650,3650,-1,-1,3650,3650,3650,-1
IZOTLSJ,3650,3650,5150,3650,3650,-1,-1,-1
IZOTLJS,3650,3700,-1,-1,3650,3650,3650,-1
IZSOJLT,3650,4550,5150,-1,-1,3650,-1,-1
IZSOJTL,3650,4050,4050,3650,-1,3650,-1,-1
IZSOLJT,3650,4450,5150,-1,-1,3650,-1,-1
IZSOLTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZSOTJL,3650,4050,4050,3650,-1,-1,-1,-1
IZSOTLJ,3650,4050,5150,3650,-1,-1,-1,-1
IZSJOLT,3650,4550,5150,-1,-1,3650,-1,-1
IZSJOTL,3650,4050,4050,3650,-1,3650,-1,-1
IZSJLOT,3650,4450,5150,-1,-1,3550,-1,-1
IZSJLTO,3650,4400,4750,-1,-1,3550,-1,-1
IZSJTOL,3650,4050,4050,3650,-1,3650,-1,-1
IZSJTLO,3650,4050,4050,3650,-1,3650,-1,-1
IZSLOJT,3650,4450,5150,-1,-1,3650,-1,-1
IZSLOTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZSLJOT,3650,4450,5150,-1,-1,3550,-1,-1
IZSLJTO,3650,4250,4750,-1,-1,3550,-1,-1
IZSLTOJ,3650,4000,5150,3650,-1,-1,-1,-1
IZSLTJO,3650,4000,4750,3650,-1,-1,-1,-1
IZSTOJL,3650,4050,4050,3650,-1,-1,-1,-1
IZSTOLJ,3650,4050,5150,3650,-1,-1,-1,-1
IZSTJOL,3650,4050,4050,3650,-1,-1,-1,-1
IZSTJLO,3650,4050,4050,3650,-1,-1,-1,-1
IZSTLOJ,3650,4050,5150,3650,-1,-1,-1,-1
IZSTLJO,3650,4100,4750,3650,-1,-1,-1,-1
IZJOSLT,4600,4550,5150,-1,-1,3650,-1,-1
IZJOSTL,4600,4050,4050,-1,3650,3650,3650,-1
IZJOLST,4600,4450,5150,-1,-1,3650,-1,-1
IZJOLTS,3650,3700,-1,-1,3550,3650,3650,-1
IZJOTSL,3650,3650,-1,-1,3650,3650,3650,-1
IZJOTLS,3650,3650,-1,-1,3650,3650,3650,-1
IZJSOLT,4600,4550,5150,-1,-1,3650,-1,-1
IZJSOTL,4600,4050,4050,-1,3650,3650,3650,-1
IZJSLOT,4600,4450,5150,-1,-1,3550,-1,-1
IZJSLTO,4600,4400,4750,-1,-1,3550,-1,-1
IZJSTOL,4600,4050,4050,-1,3650,3650,3650,-1
IZJSTLO,4600,4050,4050,-1,3650,3650,3650,-1
IZJLOST,4600,4450,5150,-1,-1,3650,-1,-1
IZJLOTS,3650,3550,-1,-1,3550,3650,3650,-1
IZJLSOT,4600,4450,5150,-1,-1,3550,-1,-1
IZJLSTO,4600,4250,4750,-1,-1,3550,-1,-1
IZJLTOS,3650,3550,-1,-1,3550,3650,3650,-1
IZJLTSO,3600,3550,-1,-1,3550,3650,3650,-1
IZJTOSL,3650,3650,-1,-1,3650,3650,3650,-1
IZJTOLS,3650,3650,-1,-1,3650,3650,3650,-1
IZJTSOL,3600,3650,-1,-1,3650,3650,3650,-1
IZJTSLO,3600,3650,-1,-1,3650,3650,3650,-1
IZJTLOS,3650,3650,-1,-1,3550,3650,3650,-1
IZJTLSO,3600,3650,-1,-1,3550,3650,3650,-1
IZLOSJT,3650,4450,5150,-1,-1,3650,-1,-1
IZLOSTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZLOJST,4600,4450,5150,-1,-1,3650,-1,-1
IZLOJTS,3650,3550,-1,-1,3550,3650,3550,-1
IZLOTSJ,3650,3600,5150,3650,3650,-1,-1,-1
IZLOTJS,3650,3600,-1,-1,3650,3650,3650,-1
IZLSOJT,3650,4450,5150,-1,-1,3650,-1,-1
IZLSOTJ,3650,4000,5150,3650,-1,-1,-1,-1
IZLSJOT,3650,4450,5150,-1,-1,3550,-1,-1
IZLSJTO,3650,4250,4750,-1,-1,3550,-1,-1
IZLSTOJ,3650,4000,5150,3650,-1,-1,-1,-1
IZLSTJO,3650,4000,4750,3650,-1,-1,-1,-1
IZLJOST,4600,4450,5150,-1,-1,3650,-1,-1
IZLJOTS,3650,3550,-1,-1,3550,3650,3550,-1
IZLJSOT,4600,4450,5150,-1,-1,3550,-1,-1
IZLJSTO,4600,4250,4750,-1,-1,3550,-1,-1
IZLJTOS,3650,3550,-1,-1,3550,3650,3550,-1
IZLJTSO,3600,3550,-1,-1,3550,3650,3550,-1
IZLTOSJ,3650,3600,5150,3650,3650,-1,-1,-1
IZLTOJS,3650,3600,-1,-1,3650,3650,3650,-1
IZLTSOJ,3650,3600,5150,3650,3650,-1,-1,-1
IZLTSJO,3650,3600,4750,3650,3650,-1,-1,-1
IZLTJOS,3650,3600,-1,-1,3550,3550,3550,-1
IZLTJSO,3600,3600,-1,-1,3550,3550,3550,-1
IZTOSJL,3650,3650,4050,3650,3650,-1,-1,-1
IZTOSLJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTOJSL,3650,3650,-1,-1,3650,3650,3650,-1
IZTOJLS,3650,3650,-1,-1,3650,3650,3650,-1
IZTOLSJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTOLJS,3650,3700,-1,-1,3650,3650,3650,-1
IZTSOJL,3650,3650,4050,3650,3650,-1,-1,-1
IZTSOLJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTSJOL,3650,3650,4050,3650,3650,-1,-1,-1
IZTSJLO,3650,3650,4050,3650,3650,-1,-1,-1
IZTSLOJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTSLJO,3650,3700,4750,3650,3650,-1,-1,-1
IZTJOSL,3650,3650,-1,-1,3650,3650,3650,-1
IZTJOLS,3650,3650,-1,-1,3650,3650,3650,-1
IZTJSOL,3600,3650,-1,-1,3650,3650,3650,-1
IZTJSLO,3600,3650,-1,-1,3650,3650,3650,-1
IZTJLOS,3650,3650,-1,-1,3550,3650,3650,-1
IZTJLSO,3600,3650,-1,-1,3550,3650,3650,-1
IZTLOSJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTLOJS,3650,3650,-1,-1,3650,3650,3650,-1
IZTLSOJ,3650,3650,5150,3650,3650,-1,-1,-1
IZTLSJO,3650,3650,4750,3650,3650,-1,-1,-1
IZTLJOS,3650,3650,-1,-1,3550,3550,3550,-1
IZTLJSO,3600,3650,-1,-1,3550,3550,3550,-1
IJOSZLT,4600,-1,5150,-1,-1,3650,-1,-1
IJOSZTL,4600,-1,4050,3650,3650,3650,3650,-1
IJOSLZT,4600,-1,5150,-1,-1,3550,-1,-1
IJOSLTZ,4600,-1,3650,3650,3650,3550,3550,-1
IJOSTZL,4600,-1,3650,3650,3650,3650,3650,-1
IJOSTLZ,4600,-1,3650,3650,3650,3650,3650,-1
IJOZSLT,4600,-1,5150,-1,-1,3650,-1,-1
IJOZSTL,4600,-1,4050,-1,3650,3650,3650,-1
IJOZLST,4600,-1,5150,-1,-1,3650,-1,-1
IJOZLTS,3650,-1,-1,-1,3550,3650,3650,-1
IJOZTSL,3650,-1,-1,-1,3650,3650,3650,-1
IJOZTLS,3650,-1,-1,-1,3650,3650,3650,-1
IJOLSZT,4600,-1,5150,-1,-1,3550,-1,-1
IJOLSTZ,4600,-1,3650,3650,3650,3550,3550,-1
IJOLZST,4600,-1,5150,-1,-1,3650,-1,-1
IJOLZTS,3650,-1,-1,-1,3550,3650,3650,-1
IJOLTSZ,3600,-1,-1,3650,3650,3650,3650,-1
IJOLTZS,3650,-1,-1,-1,3650,3650,3650,-1
IJOTSZL,3600,-1,-1,3650,3650,3650,3650,-1
IJOTSLZ,3600,-1,-1,3650,3650,3650,3650,-1
IJOTZSL,3650,-1,-1,-1,3650,3650,3650,-1
